Srt,Trib,Sac,UppSac
1,Upper Sacramento River,1,1
2,Antelope Creek,1,1
3,Battle Creek,1,1
4,Bear Creek,1,1
5,Big Chico Creek,1,1
6,Butte Creek,1,1
7,Clear Creek,1,1
8,Cottonwood Creek,1,1
9,Cow Creek,1,1
10,Deer Creek,1,1
11,Elder Creek,1,1
12,Mill Creek,1,1
13,Paynes Creek,1,1
14,Stony Creek,1,1
15,Thomes Creek,1,1
16,Upper-mid Sacramento River,1,1
17,Sutter Bypass,0,0
18,Bear River,1,0
19,Feather River,1,0
20,Yuba River,1,0
21,Lower-mid Sacramento River,0,0
22,Yolo Bypass,0,0
23,American River,0,0
24,Lower Sacramento River,0,0
25,Calaveras River,0,0
26,Cosumnes River,0,0
27,Mokelumne River,0,0
28,Merced River,0,0
29,Stanislaus River,0,0
30,Tuolumne River,0,0
31,San Joaquin River,0,0
