"watershed","order","seed"
"Upper Sacramento River",1,22012
"Antelope Creek",2,72
"Battle Creek",3,12626
"Bear Creek",4,12
"Big Chico Creek",5,12
"Butte Creek",6,885
"Clear Creek",7,8555
"Cottonwood Creek",8,1251
"Cow Creek",9,1649
"Deer Creek",10,569
"Elder Creek",11,12
"Mill Creek",12,1332
"Paynes Creek",13,51
"Stony Creek",14,12
"Thomes Creek",15,12
"Upper-mid Sacramento River",16,0
"Sutter Bypass",17,0
"Bear River",18,12
"Feather River",19,52408
"Yuba River",20,7184
"Lower-mid Sacramento River",21,0
"Yolo Bypass",22,0
"American River",23,24959
"Lower Sacramento River",24,0
"Calaveras River",25,12
"Cosumnes River",26,499
"Mokelumne River",27,4514
"Merced River",28,2145
"Stanislaus River",29,5405
"Tuolumne River",30,984
"San Joaquin River",31,0
